x Value, Relative Error
0.728,-1.30642478619535
0.73,-1.29213064151203
0.732,-1.27753055905225
0.734,-1.26262234658026
0.736,-1.24740380586241
0.738,-1.23187273266714
0.74,-1.21602691676496
0.742,-1.19986414192849
0.744,-1.18338218593244
0.746,-1.16657882055361
0.748,-1.14945181157089
0.75,-1.13199891876525
0.752,-1.11421789591977
0.754,-1.09610649081961
0.756,-1.07766244525202
0.758,-1.05888349500634
0.76,-1.03976736987402
0.762,-1.02031179364857
0.764,-1.00051448412561
0.766,-0.980373153102846
0.768,-0.959885506380085
0.77,-0.939049243759211
0.772,-0.917862059044205
0.774,-0.89632164004114
0.776,-0.874425668558176
0.778,-0.852171820405568
0.78,-0.829557765395661
0.782,-0.806581167342887
0.784,-0.783239684063778
0.786,-0.759530967376947
0.788,-0.735452663103104
0.79,-0.711002411065048
0.792,-0.68617784508767
0.794,-0.660976592997949
0.796,-0.63539627662496
0.798,-0.609434511799865
0.8,-0.583088908355917
0.802,-0.556357070128463
0.804,-0.529236594954939
0.806,-0.501725074674873
0.808,-0.473820095129881
0.81,-0.445519236163673
0.812,-0.41682007162205
0.814,-0.387720169352901
0.816,-0.358217091206209
0.818,-0.328308393034049
0.82,-0.297991624690581
0.822,-0.267264330032063
0.824,-0.23612404691684
0.826,-0.20456830720535
0.828,-0.172594636760118
0.83,-0.140200555445765
0.832,-0.107383577129001
0.834,-0.0741412096786293
0.836,-0.0404709549655359
0.838,-0.00637030886270633
0.84,0.0281632387547849
0.842,0.0631322040097746
0.844,0.0985391090230065
0.846,0.134386481913132
0.848,0.170676856796716
0.85,0.207412773788228
0.852,0.244596779000052
0.854,0.282231424542472
0.856,0.320319268523691
0.858,0.358862875049813
0.86,0.397864814224856
0.862,0.437327662150748
0.864,0.477254000927319
0.866,0.517646418652316
0.868,0.55850750942139
0.87,0.599839873328104
0.872,0.641646116463924
0.874,0.683928850918236
0.876,0.726690694778325
0.878,0.769934272129391
0.88,0.813662213054538
0.882,0.857877153634784
0.884,0.902581735949052
0.886,0.947778608074176
0.888,0.993470424084901
0.89,1.03965984405388
0.892,1.08634953405166
0.894,1.13354216614673
0.896,1.18124041840546
0.898,1.22944697489214
0.9,1.27816452566897
0.902,1.32739576679604
0.904,1.37714340033139
0.906,1.42741013433092
0.908,1.47819868284848
0.91,1.5295117659358
0.912,1.58135210964254
0.914,1.63372244601626
0.916,1.68662551310243
0.918,1.74006405494441
0.92,1.79404082158351
0.922,1.84855856905892
0.924,1.90362005940774
0.926,1.95922806066499
0.928,2.01538534686359
0.93,2.07209469803437
0.932,2.12935890020607
0.934,2.18718074540536
0.936,2.24556303165677
0.938,2.30450856298279
0.94,2.36402014940378
0.942,2.42410060693804
0.944,2.48475275760177
0.946,2.54597942940906
0.948,2.60778345637193
0.95,2.6701676785003
0.952,2.73313494180201
0.954,2.79668809828279
0.956,2.86083000594629
0.958,2.92556352879408
0.96,2.99089153682561
0.962,3.05681690603827
0.964,3.12334251842735
0.966,3.19047126198603
0.968,3.25820603070543
0.97,3.32654972457454
0.972,3.39550524958031
0.974,3.46507551770755
0.976,3.535263446939
0.978,3.60607196125532
0.98,3.67750399063507
0.982,3.7495624710547
0.984,3.8222503444886
0.986,3.89557055890905
0.988,3.96952606828625
0.99,4.04411983258829
0.992,4.11935481778119
0.994,4.19523399582888
0.996,4.27176034469317
0.998,4.34893684833382
1,4.42676649670846
